,Headline,Day,Date,Timings
7294,Madurai today,Wednesday,2010-02-17,['7.30 p.m.']
7295,Chennai today,Tuesday,2010-02-16,"['7 p.m.', '7.30 p.m.', '7 p.m.']"
7296,Madurai today,Tuesday,2010-02-16,['7 p.m.']
7297,Madurai today,Monday,2010-02-15,['7 p.m.']
7298,Madurai today,Tuesday,2010-02-16,['7 p.m.']
7299,Chennai today,Monday,2010-02-15,['7 p.m.']
7300,Madurai today,Monday,2010-02-15,['7 p.m.']
7301,In Chennai Today,Sunday,2010-02-14,"['11 a.m.', '6 p.m.', '7 p.m.']"
7302,In Coimbatore Today,Sunday,2010-02-14,"['7.30 p.m.', '9 a.m.', '2 p.m.', '10 a.m.', '9.30 a.m.', '9 a.m.', '10 a.m.', '6.30 p.m.', '10 a.m.', '9.30 a.m.', '8 a.m.', '10 a.m.', '5.30 p.m.', '10.30 a.m.', '4 p.m.', '9.15 a.m.', '9 a.m.', '11 a.m.', '5 p.m.', '9.30 a.m.', '2.30 p.m.']"
7303,In Madurai Today,Sunday,2010-02-14,"['11 a.m.', '7 p.m.', '10 a.m.', '6.30 p.m.', '8.30 a.m.', '10 a.m.']"
7304,In Madurai Today,Saturday,2010-02-13,['7 p.m.']
7305,In Chennai Today,Saturday,2010-02-13,['7 p.m.']
7306,In Thiruvananthapuram Today,Saturday,2010-02-13,"['6 p.m.', '3 p.m.', '7.15 p.m.', '5.30 p.m.']"
7307,In Chennai Today,Friday,2010-02-12,"['7 p.m.', '7 p.m.']"
7308,In Madurai Today,Friday,2010-02-12,['7 p.m.']
7309,In Madurai Today,Thursday,2010-02-11,['7.30 p.m.']
7310,In Hyderabad Today,Thursday,2010-02-11,"['7 p.m.', '10 a.m.', '4 p.m.', '6 p.m.', '5 p.m.', '11 a.m.', '11 a.m.', '11.30 a.m.', '6.30 p.m.']"
7311,In Chennai Today,Thursday,2010-02-11,['7 p.m.']
7312,In Madurai Today,Wednesday,2010-02-10,['7.30 p.m.']
7313,In Coimbatore Today,Wednesday,2010-02-10,"['4 p.m.', '6.30 p.m.', '11 a.m.', '6 a.m.', '10 a.m.', '6 p.m.', '6 p.m.', '6.30 a.m.', '5 p.m.', '6.30 p.m.', '11 a.m.', '6.30 p.m.', '6.50 p.m.', '5.30 p.m.', '10 a.m.', '3.30 p.m.', '9.30 a.m.', '9.30 a.m.', '9.30 a.m.', '9.30 a.m.', '1.30 p.m.', '9.30 a.m.', '10 a.m.', '9.30 a.m.', '4 p.m.', '9.30 a.m.', '2 p.m.', '10 a.m.', '9.30 a.m.', '10 a.m.', '10 a.m.', '10 a.m.', '9.30 a.m.', '10 a.m.', '10 a.m.', '10 a.m.', '10.30 a.m.', '10.30 a.m.', '11.30 a.m.', '11 a.m.', '10 a.m.', '4.45 p.m.', '2 p.m.', '10 a.m.', '10.30 a.m.', '7 p.m.', '9.30 a.m.', '7.30 p.m.', '11 a.m.', '3 p.m.', '10 a.m.', '10 a.m.', '10 a.m.']"
7314,In Chennai Today,Wednesday,2010-02-10,['7 p.m.']
7315,In Madurai Today,Tuesday,2010-02-09,['7 p.m.']
7316,In Chennai Today,Tuesday,2010-02-09,['7 p.m.']
7317,In Hyderabad Today,Monday,2010-02-08,"['7 p.m.', '10 a.m.', '6 p.m.', '6.30 p.m.', '10 a.m.', '5.30 p.m.', '11 a.m.', '7 a.m.', '7 p.m.', '11.30 a.m.', '11 a.m.', '7 p.m.']"
7318,In Chennai Today,Monday,2010-02-08,['7 p.m.']
7319,In Madurai Today,Monday,2010-02-08,['7 p.m.']
7320,Coimbatore Today,Sunday,2010-02-07,"['9.05 a.m.', '10 a.m.', '4 p.m.', '8 a.m.', '6.30 a.m.', '6.30 a.m.', '6.50 p.m.', '9.30 a.m;', '4 p.m\r', '11 a.m.', '5 p.m.', '10.30 a.m.', '10 a.m.', '2.30 p.m.', '9.30 a.m.', '10 a.m.', '3 p.m.', '3 p.m.', '11 a.m.', '9.30 a.m.', '9.30 p.m.', '9 a.m.', '9 a.m.', '3 p.m.', '10 a.m.', '10.30 a.m.', '9 a.m.', '9.30 a.m.']"
7321,Madurai Today,Sunday,2010-02-07,['7 p.m.']
7322,Chennai Today,Sunday,2010-02-07,"['10.30 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 p.m.']"
7323,Madurai Today,Saturday,2010-02-06,['7 p.m.']
7324,Chennai Today,Saturday,2010-02-06,['7 p.m.']
7325,Chennai Today,Friday,2010-02-05,['7 p.m.']
7326,Madurai Today,Friday,2010-02-05,['7 p.m.']
7327,Hyderabad Today,Friday,2010-02-05,"['7 p.m.', '6.30 p.m.', '11.30 a.m.', '11 a.m.', '6.30 p.m ']"
7328,Chennai Today,Thursday,2010-02-04,"['7 p.m.', '7 p.m.']"
7329,Madurai Today,Thursday,2010-02-04,['7.30 p.m.']
7330,Chennai Today,Wednesday,2010-02-03,['7 p.m.']
7331,Madurai Today,Wednesday,2010-02-03,['7.30 p.m.']
7332,Chennai Today,Tuesday,2010-02-02,"['7 p.m.', '7 p.m.']"
7333,Madurai Today,Monday,2010-02-01,['7 p.m.']
7334,Hyderabad Today,Monday,2010-02-01,"['7 p.m.', '10.30 a.m.', '6.30 p.m.', '11 a.m.', '5.30 p.m.', '11.30 a.m.', '11 a.m.']"
7335,Coimbatore today,Sunday,2010-01-31,"['10 a.m.', '5 p.m.', '8 a.m.', '4.25 p.m.', '6 p.m.', '10 a.m.', '6.50 p.m.', '9.30 a.m.', '4 p.m.', '8 a.m.', '5 p.m.', '6.30 a.m.', '10 a.m.', '10 a.m.', '3 p.m.', '7.30 p.m.', '9 a.m.', '9 a.m.', '5 p.m.', '9.30 a.m.', '9.30 a.m.', '3.30 p.m.', '10.30 a.m.', '10 a.m.', '4 p.m.', '10 a.m.', '4 p.m.', '9.15 a.m.', '9.30 a.m.', '5 p.m.', '5 a.m.', '8 a.m.']"
7336,Chennai today,Sunday,2010-01-31,"['11 a.m.', '6 p.m.', '7 p.m.']"
7337,Chennai today,Saturday,2010-01-30,['7 p.m.']
7338,Madurai today,Saturday,2010-01-30,['7 p.m.']
7339,Madurai today,Friday,2010-01-29,['7 p.m.']
7340,Hyderabad today,Friday,2010-01-29,"['7 p.m.', '6 p.m.', '5 p.m.', '10 a.m.', '11 a.m.', '5 p.m.', '10 a.m.', '11.30 a.m.', '11 a.m.', '11 a.m.', '11 a.m.']"
7341,Chennai today,Friday,2010-01-29,"['7 p.m.', '7 p.m.']"
7342,In Hyderabad Today,Thursday,2010-01-28,"['7 p.m.', '11.30 a.m.', '5 p.m.', '6 p.m.', '6 p.m.', '5 p.m.', '11.30 a.m.', '10 a.m.', '11 a.m.', '10 a.m.', '11.30 a.m.', '11 a.m.', '6 p.m.', '11 a.m.']"
7343,In Madurai Today,Thursday,2010-01-28,['7.30 p.m.']
7344,In Chennai Today,Thursday,2010-01-28,"['7 p.m.', '7 p.m.']"
7345,In Hyderabad Today,Thursday,2010-01-28,"['7 p.m.', '11.30 a.m.', '5 p.m.', '6 p.m.', '6 p.m.', '5 p.m.', '11.30 a.m.', '10 a.m.', '11 a.m.', '10 a.m.', '11.30 a.m.', '11 a.m.', '6 p.m.', '11 a.m.']"
7346,In Madurai Today,Thursday,2010-01-28,['7.30 p.m.']
7347,In Hyderabad Today,Wednesday,2010-01-27,"['7 p.m.', '2 p.m.', '5 p.m.', '11.30 a.m.', '6.30 p.m.', '10 a.m.', '11 a.m.', '10 a.m.']"
7348,In Chennai Today,Wednesday,2010-01-27,['7 p.m.']
7349,In Madurai Today,Wednesday,2010-01-27,['7.30 p.m.']
7350,Madurai today,Tuesday,2010-01-26,['7 p.m.']
7351,Chennai today,Tuesday,2010-01-26,"['7 p.m.', '7.30 p.m.']"
7352,Hyderabad today,Tuesday,2010-01-26,"['7 p.m.', '11.30 a.m.', '9.30 a.m.', '9 a.m.', '8.15 a.m.', '10 a.m.', '6 p.m.', '10.30 a.m.', '10 a.m.', '10 a.m.', '11.30 a.m.', '6.30 p.m.', '11 a.m.', '5.45 p.m.', '6 p.m.']"
7353,Chennai today,Monday,2010-01-25,['7 p.m.']
7354,Madurai today,Monday,2010-01-25,['7 p.m.']
7355,Engagements - Tirunelveli,Sunday,2010-01-24,"['6.30 p.m.', '10.30 a.m.', '6 p.m.']"
7356,In Madurai Today,Sunday,2010-01-24,"['11 a.m.', '7 p.m.']"
7357,In Chennai Today,Saturday,2010-01-23,['7 p.m.']
7358,In Madurai Today,Friday,2010-01-22,['7 p.m.']
7359,In Chennai Today,Friday,2010-01-22,['7 p.m.']
7360,Engagements - Tirunelveli,Friday,2010-01-22,"['7 p.m.', '4 p.m.', '10 a.m.', '9.30 a.m.', '10 a.m.']"
7361,In Madurai Today,Thursday,2010-01-21,['7.30 p.m.']
7362,Engagements - Tirunelveli,Thursday,2010-01-21,"['7 p.m.', '9 a.m.']"
7363,In Hyderabad Today,Thursday,2010-01-21,"['7 p.m.', '6 p.m.', '6.30 p.m.', '6.30 p.m.']"
7364,In Chennai Today,Thursday,2010-01-21,['7 p.m.']
7365,In Madurai Today,Tuesday,2010-01-19,['7 p.m.']
7366,In Chennai Today,Tuesday,2010-01-19,['7 p.m;']
7367,In Hyderabad Today,Tuesday,2010-01-19,"['7 p.m.', '5 p.m.', '6 p.m.', '5.30 p.m.']"
7368,In Hyderabad Today,Monday,2010-01-18,"['7 p.m.', '10 a.m.', '6.30 p.m.', '9.30 a.m.', '6 p.m.', '5.45 p.m.']"
7369,In Madurai Today,Tuesday,2010-01-19,['7 p.m.']
7370,In Hyderabad Today,Monday,2010-01-18,"['7 p.m.', '10 a.m.', '6.30 p.m.', '9.30 a.m.', '6 p.m.', '5.45 p.m.']"
7371,In Madurai Today,Monday,2010-01-18,['7 p.m.']
7372,In Chennai Today,Monday,2010-01-18,['7 p.m.']
7373,In Kozhikode Today,Monday,2010-01-18,"['3 p.m.', '4 p.m.', '6.30 p.m.', '6 p.m.']"
7374,Chennai today,Sunday,2010-01-17,"['11 a.m.', '6 p.m.', '7 p.m.']"
7375,Coimbatore today,Sunday,2010-01-17,"['3 p.m.', '5.30 p.m.', '11 a.m.', '10.30 a.m.', '9.30 a.m.', '9.30 a.m.', '10 a.m.', '6 p.m.']"
7376,Madurai today,Saturday,2010-01-16,['7 p.m.']
7377,Chennai today,Thursday,2010-01-14,['7 p.m.']
7378,Hyderabad today,Thursday,2010-01-14,"['7 p.m ', '6.30 p.m.', '6.30 p.m.', '11.30 a.m.', '6.30 p.m.']"
7379,Madurai today,Thursday,2010-01-14,['7 p.m.']
7380,Chennai today,Tuesday,2010-01-12,['7 p.m.']
7381,Madurai today,Tuesday,2010-01-12,['7 p.m.']
7382,Madurai today,Monday,2010-01-11,['7 p.m.']
7383,Hyderabad today,Monday,2010-01-11,"['7 p.m.', '7 p.m.', '7 p.m.', '6 p.m.', '7 p.m.', '2 p.m.', '6.30 p.m.', '5.30 p.m.', '11.30 a.m.']"
7384,Chennai today,Monday,2010-01-11,['7 p.m.']
7385,Madurai Today,Sunday,2010-01-10,"['11 a.m.', '7 p.m.']"
7386,Chennai Today,Sunday,2010-01-10,"['11 a.m.', '7 p.m.']"
7387,Hyderabad Today,Sunday,2010-01-10,"['10 a.m.', '11 a.m.', '11.15 a.m.', '7 p.m.', '9 a.m.', '6.30 p.m.', '11.30 a.m.']"
7388,Coimbatore Today,Saturday,2010-01-09,"['6.30 p.m.', '6 p.m.', '11 a.m.', '8 a.m.', '6.30 p.m.', '6 p.m.', '5 a.m.', '6 p.m.', '9 a.m.', '4 p.m.', '10.30 a.m.', '9.30 a.m.', '2 p.m.', '9.30 a.m.', '5 p.m.', '9 a.m.', '10 a.m.', '9.30 a.m.', '9.30 a.m.', '7.30 a.m.', '11 a.m.', '3.30 p.m.', '11 a.m.', '4 p.m.', '4 p.m.', '10 a.m.', '8.30 a.m.', '9.30 a.m.', '9 a.m.', '9.30 a.m.', '10 a.m.', '9 a.m.', '9.30 a.m.', '11 a.m.', '10 a.m.', '8 a.m.', '10 a.m.', '10 a.m.', '6.15 a.m.', '2.30 p.m.', '5.30 a.m.', '1.30 p.m.', '9 a.m.', '9 a.m.', '11 a.m.', '10 a.m.', '6 p.m.', '6.30 p.m.', '10 a.m.', '11.15 a.m.', '3 p.m.', '3 p.m.', '6 p.m.', '4 p.m.', '2 p.m.', '10 a.m.', '10 a.m.', '10 a.m.']"
7389,Chennai Today,Saturday,2010-01-09,"['8 a.m.', '7 p.m.']"
7390,Coimbatore Today,Saturday,2010-01-09,"['6.30 p.m.', '6 p.m.', '11 a.m.', '8 a.m.', '6.30 p.m.', '6 p.m.', '5 a.m.', '6 p.m.', '9 a.m.', '4 p.m.', '10.30 a.m.', '9.30 a.m.', '2 p.m.', '9.30 a.m.', '5 p.m.', '9 a.m.', '10 a.m.', '9.30 a.m.', '9.30 a.m.', '7.30 a.m.', '11 a.m.', '3.30 p.m.', '11 a.m.', '4 p.m.', '4 p.m.', '10 a.m.', '8.30 a.m.', '9.30 a.m.', '9 a.m.', '9.30 a.m.', '10 a.m.', '9 a.m.', '9.30 a.m.', '11 a.m.', '10 a.m.', '8 a.m.', '10 a.m.', '10 a.m.', '6.15 a.m.', '2.30 p.m.', '5.30 a.m.', '1.30 p.m.', '9 a.m.', '9 a.m.', '11 a.m.', '10 a.m.', '6 p.m.', '6.30 p.m.', '10 a.m.', '11.15 a.m.', '3 p.m.', '3 p.m.', '6 p.m.', '4 p.m.', '2 p.m.', '10 a.m.', '10 a.m.', '10 a.m.']"
7391,Chennai Today,Saturday,2010-01-09,"['8 a.m.', '7 p.m.']"
7392,Madurai Today,Friday,2010-01-08,['7 p.m.']
7393,Chennai Today,Friday,2010-01-08,"['7 p.m.', '7 p.m.']"
7394,Chennai Today,Thursday,2010-01-07,['7 p.m.']
7395,Madurai Today,Thursday,2010-01-07,['7.30 p.m.']
7396,Madurai Today,Wednesday,2010-01-06,['7.30 p.m.']
7397,Chennai Today,Wednesday,2010-01-06,['7 p.m.']
7398,Chennai Today,Tuesday,2010-01-05,"['7 p.m.', '7.30 p.m.']"
7399,Madurai Today,Tuesday,2010-01-05,['7 p.m.']
7400,Chennai Today,Monday,2010-01-04,['7 p.m.']
7401,In Madurai Today,Sunday,2010-01-03,"['11 a.m.', '7 p.m.']"
7402,In Chennai Today,Sunday,2010-01-03,"['10.30 a.m.', '11 a.m.', '11.30 a.m.', '5.30 p.m.', '7 p.m.', '11 a.m.', '4 p.m.']"
7403,In Chennai Today,Saturday,2010-01-02,"['8 a.m.', '7 p.m.']"
7404,In Madurai Today,Saturday,2010-01-02,['7 p.m.']
7405,In Madurai Today,Friday,2010-01-01,['7 p.m.']
7406,In Chennai Today,Friday,2010-01-01,"['7 p.m.', '7 p.m.']"
7407,Engagements - Tirunelveli,Thursday,2009-12-31,['7 p.m.']
7408,In Chennai Today,Thursday,2009-12-31,['7 p.m.']
7409,In Chennai Today,Wednesday,2009-12-30,['7 p.m.']
7410,Engagements - Tirunelveli,Wednesday,2009-12-30,"['7 p.m.', '7 a.m.', '10 a.m.', '1 p.m.', '6.30 p.m.']"
7411,In Madurai Today,Wednesday,2009-12-30,['7.30 p.m.']
7412,In Madurai Today,Tuesday,2009-12-29,['7 p.m.']
7413,In Chennai Today,Tuesday,2009-12-29,"['7 p.m.', '7.30 p.m.']"
7414,In Madurai Today,Monday,2009-12-28,['7 p.m.']
7415,In Chennai Today,Monday,2009-12-28,['7 p.m.']
7416,Coimbatore Today,Sunday,2009-12-27,"['5 a.m.', '6.30 p.m.', '6 p.m.', '5 p.m.', '6 p.m.', '6 a.m.', '4.25 p.m.', '4.30 a.m.', '5 p.m.', '6.30 p.m.', '10 a.m.', '6 p.m.', '8 a.m.', '2 p.m.', '11 a.m.', '6 p.m.', '5 a.m.', '6 p.m.', '10 a.m.', '6 p.m.', '5.30 p.m.', '6.30 p.m.', '9.30 a.m.', '6 p.m.', '3 p.m.', '10.30 a.m.', '10 a.m.', '9.30 a.m.', '3.30 p.m.', '10 a.m.', '9.30 a.m.', '9 a.m.', '6 p.m.', '10 a.m.', '9.30 a.m.', '10 a.m.', '10 a.m.', '10 a.m.']"
7417,Chennai Today,Sunday,2009-12-27,"['10.30 a.m.', '11 a.m.', '11.30 a.m.', '5.30 p.m.', '7 p.m.']"
7418,Madurai Today,Saturday,2009-12-26,['7 p.m.']
7419,Chennai Today,Saturday,2009-12-26,"['8 a.m.', '7 p.m.']"
7420,Madurai Today,Friday,2009-12-25,['7 p.m.']
7421,Chennai Today,Friday,2009-12-25,"['7 p.m.', '7 p.m.']"
7422,Chennai Today,Thursday,2009-12-24,['7 p.m.']
7423,Madurai Today,Thursday,2009-12-24,['7.30 p.m.']
7424,Madurai Today,Wednesday,2009-12-23,['7.30 p.m.']
7425,Chennai Today,Wednesday,2009-12-23,['7 p.m.']
7426,Madurai Today,Monday,2009-12-21,['7 p.m.']
7427,Kozhikode Today,Monday,2009-12-21,"['10 a.m.', '9.15 p.m.', '10 a.m.', '10 a.m.', '11 a.m.', '7 p.m.']"
7428,Chennai Today,Monday,2009-12-21,['7 p.m.']
7429,Madurai today,Sunday,2009-12-20,"['11 a.m.', '7 p.m.']"
7430,Chennai today,Sunday,2009-12-20,"['11 a.m.', '7 p.m.']"
7431,Coimbatore Today,Sunday,2009-12-20,"['3 p.m.', '6.30 p.m.', '10.15 a.m.', '10 a.m.', '10.30 a.m.', '5 p.m.', '9.30 a.m.', '10 a.m.', '9 a.m.', '10 a.m.', '10 a.m.', '10.30 a.m.']"
7432,Chennai today,Saturday,2009-12-19,"['8 a.m.', '7 p.m.']"
7433,Madurai today,Saturday,2009-12-19,['7 p.m.']
7434,Chennai today,Friday,2009-12-18,"['7 p.m.', '7 p.m.']"
7435,Madurai today,Thursday,2009-12-17,['7.30 p.m.']
7436,Chennai today,Thursday,2009-12-17,['7 p.m.']
7437,Hyderabad today,Thursday,2009-12-17,"['7 p.m.', '6 p.m.', '7.30 p.m.', '5.30 p.m.', '11 a.m.', '11 a.m.', '11 a.m.']"
7438,Madurai today,Wednesday,2009-12-16,['7.30 p.m.']
7439,Chennai today,Wednesday,2009-12-16,['7 p.m.']
7440,Madurai today,Tuesday,2009-12-15,['7 p.m.']
7441,Chennai today,Tuesday,2009-12-15,['7.30 p.m.']
7442,Chennai today,Monday,2009-12-14,['7 p.m.']
7443,Hyderabad today,Monday,2009-12-14,"['7 p.m.', '8.30 p.m.', '5.30 p.m.', '6 p.m.', '6 p.m.', '11 a.m.', '11.30 a.m.', '6 p.m.']"
7444,Madurai today,Monday,2009-12-14,['7 p.m.']
7445,In Hyderabad Today,Sunday,2009-12-13,"['11 a.m.', '8 a.m.', '5.30 p.m.', '4.30 p.m.', '7.30 p.m.', '11 a.m.', '11.30 a.m.', '6 p.m.']"
7446,In Chennai Today,Sunday,2009-12-13,"['11 a.m.', '7 p.m.']"
7447,In Madurai Today,Sunday,2009-12-13,"['11 a.m.', '7 p.m.']"
7448,In Chennai Today,Saturday,2009-12-12,"['8 a.m.', '7 p.m.']"
7449,In Madurai Today,Saturday,2009-12-12,['7 p.m.']
7450,In Madurai Today,Friday,2009-12-11,['7 p.m.']
7451,In Chennai Today,Friday,2009-12-11,['7 p.m.']
7452,In Hyderabad Today,Friday,2009-12-11,"['7 p.m.', '10 a.m.', '11.30 a.m.', '6 p.m.']"
7453,In Chennai Today,Thursday,2009-12-10,['7 p.m.']
7454,Engagements - Tirunelveli,Thursday,2009-12-10,"['7 p.m.', '9 a.m.', '6 p.m.', '6 p.m.']"
7455,In Madurai Today,Thursday,2009-12-10,['7.30 p.m.']
7456,In Chennai Today,Wednesday,2009-12-09,['7 p.m.']
7457,In Madurai Today,Wednesday,2009-12-09,['7.30 p.m.']
7458,Engagements - Tirunelveli,Tuesday,2009-12-08,"['10 a.m.', '11 a.m.', '10 a.m.']"
7459,In Chennai Today,Tuesday,2009-12-08,"['7 p.m.', '7.30 p.m.']"
7460,In Madurai Today,Tuesday,2009-12-08,['7 p.m.']
7461,In Kozhikode Today,Monday,2009-12-07,"['3 p.m.', '10 a.m.', '9 a.m.', '10 a.m.', '9 p.m.']"
7462,In Chennai Today,Monday,2009-12-07,['7 p.m.']
7463,In Madurai Today,Monday,2009-12-07,['7 p.m.']
7464,Chennai Today,Sunday,2009-12-06,"['11 a.m.', '7 p.m.']"
7465,Coimbatore Today,Sunday,2009-12-06,"['3 p.m.', '2.30 p.m.', '10 a.m.', '10.30 a.m.', '5.30 p.m.', '10.30 a.m.', '9 a.m.', '7 p.m.', '9 a.m.', '11 a.m.', '10 a.m.', '9 a.m.', '10 a.m.']"
7466,Madurai Today,Sunday,2009-12-06,"['11 a.m.', '7 p.m.']"
7467,Madurai Today,Saturday,2009-12-05,['7 p.m.']
7468,Chennai Today,Saturday,2009-12-05,"['8 a.m.', '7 p.m.']"
7469,Chennai Today,Friday,2009-12-04,['7 p.m.']
7470,Madurai Today,Thursday,2009-12-03,['7.30 p.m.']
7471,Chennai Today,Thursday,2009-12-03,['7 p.m.']
7472,Chennai Today,Thursday,2009-12-03,['7 p.m.']
7473,Madurai Today,Thursday,2009-12-03,['7.30 p.m.']
7474,Madurai Today,Wednesday,2009-12-02,['7.30 p.m.']
7475,Chennai Today,Wednesday,2009-12-02,['7 p.m.']
7476,Madurai Today,Tuesday,2009-12-01,['7 p.m.']
7477,Chennai Today,Tuesday,2009-12-01,"['7 p.m.', '7.30 p.m.']"
7478,Kozhikode Today,Monday,2009-11-30,"['10 a.m.', '10 a.m.', '10 a.m.', '11 a.m.', '6 p.m.', '6.30 p.m.', '4 p.m.']"
7479,Madurai Today,Monday,2009-11-30,['7 p.m.']
7480,Chennai Today,Monday,2009-11-30,['7 p.m.']
7481,Coimbatore today,Sunday,2009-11-29,"['3 p.m.', '10 a.m.', '5 p.m.', '10 a.m.', '9 a.m.', '3 p.m.', '10 a.m.']"
7482,Chennai today,Sunday,2009-11-29,"['11 a.m.', '5.30 p.m.', '7 p.m.']"
7483,Madurai today,Sunday,2009-11-29,"['11 a.m.', '7 p.m.']"
7484,Madurai today,Friday,2009-11-27,['7 p.m.']
7485,Chennai today,Friday,2009-11-27,['7 p.m.']
7486,Madurai today,Thursday,2009-11-26,['7.30 p.m.']
7487,Chennai today,Thursday,2009-11-26,['7 p.m.']
7488,Chennai today,Wednesday,2009-11-25,['7 p.m.']
7489,Kozhikode Today,Tuesday,2009-11-24,"['2 p.m.', '10 a.m.', '10 a.m.', '10.30 a.m.', '10 a.m.', '11 a.m.']"
7490,Chennai today,Tuesday,2009-11-24,['7 p.m.']
7491,Madurai today,Tuesday,2009-11-24,['7 p.m.']
7492,Kozhikode Today,Monday,2009-11-23,"['3 p.m.', '7 p.m.']"
7493,Chennai today,Monday,2009-11-23,['7 p.m.']
7494,Madurai today,Monday,2009-11-23,['7 p.m.']
7495,In Madurai Today,Sunday,2009-11-22,['11 a.m.']
7496,In Chennai Today,Sunday,2009-11-22,"['11 a.m.', '5.30 p.m.', '7 p.m.']"
7497,In Chennai Today,Saturday,2009-11-21,"['8 a.m.', '7 p.m.']"
7498,In Madurai Today,Saturday,2009-11-21,['7.30 p.m.']
7499,Engagements - Tirunelveli,Saturday,2009-11-21,"['7 p.m.', '11 a.m.', '9 a.m.']"
7500,In Madurai Today,Friday,2009-11-20,['7 p.m.']
7501,In Chennai Today,Friday,2009-11-20,['7 p.m.']
7502,Engagements - Tirunelveli,Friday,2009-11-20,"['7 p.m.', '9.30 a.m.']"
7503,In Chennai Today,Thursday,2009-11-19,['7 p.m.']
7504,In Chennai Today,Wednesday,2009-11-18,['7 p.m.']
7505,In Chennai Today,Tuesday,2009-11-17,"['7 p.m.', '7.30 p.m.', '7 p.m.']"
7506,In Chennai Today,Wednesday,2009-11-18,['7 p.m.']
7507,In Chennai Today,Tuesday,2009-11-17,"['7 p.m.', '7.30 p.m.', '7 p.m.']"
7508,In Chennai Today,Monday,2009-11-16,['7 p.m.']
7509,Chennai Today,Sunday,2009-11-15,"['10.30 a.m.', '11 a.m.', '11.30 a.m.', '5.30 p.m.', '7 p.m.']"
7510,Madurai Today,Saturday,2009-11-14,['7 p.m.']
7511,Chennai Today,Saturday,2009-11-14,"['8 a.m.', '7 p.m.', '7 p.m.']"
7512,Chennai Today,Friday,2009-11-13,['7 p.m.']
7513,Madurai Today,Friday,2009-11-13,['7 p.m.']
7514,Chennai Today,Thursday,2009-11-12,['7 p.m.']
7515,Madurai Today,Thursday,2009-11-12,['7.30 p.m.']
7516,Madurai Today,Wednesday,2009-11-11,['7.30 p.m.']
7517,Chennai Today,Wednesday,2009-11-11,['7 p.m.']
7518,Chennai Today,Monday,2009-11-09,['7 p.m.']
7519,In Coimbatore Today,Sunday,2009-11-08,"['10 a.m.', '10 a.m.', '5 p.m.', '5 p.m\r', '4 p.m.', '9.30 a.m.', '7.30 a.m.', '6 p.m.', '6 p.m.', '6 a.m.', '6 a.m.', '5.30 p.m.', '3 p.m.', '9 a.m.', '2.30 p.m.', '9 a.m.', '6.30 p.m.', '10 a.m.', '9 a.m.', '11 a.m.']"
7520,In Chennai Today,Sunday,2009-11-08,"['10.30 a.m.', '11 a.m.', '11.30 a.m.', '5.30 p.m.', '7 p.m.']"
7521,In Madurai Today,Sunday,2009-11-08,"['11 a.m.', '7 p.m.']"
7522,In Hyderabad Today,Saturday,2009-11-07,"['7 p.m.', '11.45 a.m.', '9.30 a.m.', '11 a.m.', '10 a.m.', '2.30 p.m.', '5 p.m.', '4.45 p.m.', '10 a.m.', '3.45 p.m.', '11 a.m.', '6 p.m.', '11 a.m.', '7.30 p.m.']"
7523,In Madurai Today,Saturday,2009-11-07,['7 p.m.']
7524,In Hyderabad Today,Friday,2009-11-06,"['7 p.m.', '11 a.m.', '11 a.m.']"
7525,In Chennai Today,Friday,2009-11-06,['7 p.m.']
7526,In Madurai Today,Friday,2009-11-06,"['7 p.m.', '3.30 p.m.', '10.30 a.m.', '3.30 p.m.', '3 p.m.']"
7527,In Chennai Today,Thursday,2009-11-05,['7 p.m.']
7528,In Madurai Today,Thursday,2009-11-05,['7.30 p.m.']
7529,In Hyderabad Today,Thursday,2009-11-05,"['7 p.m.', '11 a.m.', '11 a.m.', '11.30 a.m.']"
7530,Hyderabad today,Wednesday,2009-11-04,"['7 p.m.', '11 a.m.', '4 p.m.', '6 p.m.', '11 a.m.', '11.30 a.m.', '11 a.m.', '4 p.m.', '6.45 p.m.', '6.30 p.m.']"
7531,Madurai today,Wednesday,2009-11-04,['7.30 p.m.']
7532,Chennai today,Wednesday,2009-11-04,['7 p.m.']
7533,Madurai today,Tuesday,2009-11-03,['7 p.m.']
7534,Chennai today,Tuesday,2009-11-03,"['7 p.m.', '7 p.m.']"
7535,Hyderabad today,Tuesday,2009-11-03,"['7 p.m.', '11 a.m.', '4 p.m.', '11 a.m.', '11.30 a.m.', '11 a.m.', '6 p.m.', '4 p.m.']"
7536,Chennai today,Monday,2009-11-02,['7 p.m.']
7537,Hyderabad today,Monday,2009-11-02,"['7 p.m.', '10 a.m.', '5.30 p.m.', '11 a.m.', '11.30 a.m.', '11 a.m.']"
7538,Madurai today,Monday,2009-11-02,['7 p.m.']
7539,In Madurai Today,Sunday,2009-11-01,"['11 a.m.', '7 p.m.']"
7540,In Chennai Today,Sunday,2009-11-01,"['11 a.m.', '7 p.m.']"
7541,Engagements - Tirunelveli,Saturday,2009-10-31,"['7 p.m.', '10 a.m.']"
7542,In Chennai Today,Sunday,2009-11-01,"['11 a.m.', '7 p.m.']"
7543,In Madurai Today,Saturday,2009-10-31,['7 p.m.']
7544,In Chennai Today,Saturday,2009-10-31,"['8 a.m.', '7 p.m.', '7 p.m.']"
